time,mag_max,event_count,mag_mean,mag_sum,longitude_mean,latitude_mean,depth_mean,time_diff_float_mean,time_diff_float_std,depth_std,latitude_std,longitude_std,mag_scatter,weight_richter,weight_Mw
07/03/1973,3.2,5,2.648,13.24,-117.9824333,34.06603332,5.25,42406.672,54244.46799,3.118677604,0.737203606,1.087335447,0.339440716,1.00E-05,2
08/03/1973,5.4,1,5.4,5.4,-116.027,37.103,0,58807.43,37571.69891,3.659445942,0.630584866,1.104639115,0.32528385,0.001,4
09/03/1973,2.85,2,2.63,5.26,-117.6588334,35.0216667,3.03,30166.655,20898.92983,4.20021428,0.523966125,1.121942783,0.311126984,1.00E-06,1
10/03/1973,2.55,1,2.55,2.55,-118.9586667,34.088,6,60319.82,37625.40285,4.723473298,0.384489312,1.043100342,0.212132034,1.00E-06,1
11/03/1973,2.56,2,2.48,4.96,-117.9435,34.1955833,12.64,74963.26,54351.87587,5.246732316,0.2450125,0.9642579,0.113137085,1.00E-06,1
12/03/1973,3.04,1,3.04,3.04,-117.3276667,35.7721667,6,71336.15,46280.84864,4.37227693,0.340299508,0.893394364,0.218791055,1.00E-05,2
14/03/1973,3.29,1,3.29,3.29,-121.2515,36.241,6,148530.94,30138.79416,2.623366158,0.530873524,0.751667291,0.430098996,1.00E-05,2
15/03/1973,2.82,1,2.82,2.82,-118.4663333,34.3866667,6.1,63092.51,22067.76693,1.748910772,0.626160532,0.680803754,0.535752967,1.00E-06,1
16/03/1973,3.34,1,3.34,3.34,-118.9871667,34.0953333,6,160961.96,13996.73969,0.874455386,0.72144754,0.609940218,0.641406937,1.00E-05,2
20/03/1973,2.81,3,2.5,7.5,-116.8296111,33.83066667,4.003333333,20468.65667,2416.172987,3.458328112,0.803149318,1.070059187,0.274043792,1.00E-06,1
21/03/1973,3.25,4,2.8075,11.23,-118.4075834,33.61200003,6.4325,25993.635,21362.95455,0.865,0.147602138,0.130109223,0.405082296,1.00E-05,2
23/03/1973,3.33,3,2.666666667,8,-117.5663889,35.1018889,2.003333333,60407.53333,70966.12537,3.461218475,1.683515496,1.482254044,0.580717946,1.00E-05,2
24/03/1973,3.05,5,2.676,13.38,-116.4683667,34.33826668,6.4,9823.486,18634.39976,0.894427191,0.242714976,0.127871984,0.355851092,1.00E-05,2
25/03/1973,2.91,2,2.69,5.38,-117.2018333,33.75666665,8.33,64806.25,32186.63801,2.16374675,0.498981709,0.391737157,0.311126984,1.00E-06,2
26/03/1973,2.73,4,2.65,10.6,-118.0240417,34.028625,5.3325,15593.9875,12520.15712,1.335,0.174289273,0.932610659,0.086409876,1.00E-06,1
27/03/1973,3.3,4,2.695,10.78,-118.4685417,34.353625,4.005,17572.185,18169.31191,4.613028651,0.29038457,2.320742438,0.440945953,1.00E-05,2
28/03/1973,3.33,2,2.92,5.84,-117.9758334,34.576,6.78,64845.36,66757.49866,9.574225817,0.656430842,0.870919876,0.579827561,1.00E-05,2
29/03/1973,3.54,3,3.013333333,9.04,-118.1794445,34.22672223,5.466666667,27382.85333,18863.88221,8.987331825,0.153897916,1.754501418,0.520128189,1.00E-05,2
30/03/1973,2.8,3,2.713333333,8.14,-117.6213889,34.19738887,4.263333333,21895.41,17986.40499,3.631120121,0.76476489,0.79276122,0.096090235,1.00E-06,1
