,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,4.8,"25 km NE of Benton, California",-1399985163000,1528145024000,,https://earthquake.usgs.gov/earthquakes/eventpage/ushis729,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ushis729&format=geojson,,,,,reviewed,0,354,ushis,729,",ushis729,",",ushis,",",impact-text,origin,",,,,,ml,earthquake,"M 4.8 - 25 km NE of Benton, California",0,Point,"[-118.3, 38, None]",0
0,4.5,"13 km E of Temecula, California",-1401112020000,1528145024000,,https://earthquake.usgs.gov/earthquakes/eventpage/ushis727,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ushis727&format=geojson,,,,,reviewed,0,312,ushis,727,",ushis727,",",ushis,",",impact-text,origin,",,,,,ml,earthquake,"M 4.5 - 13 km E of Temecula, California",1,Point,"[-117, 33.5, None]",1
0,6.82,"14km SSE of Isla Vista, CA",-1404551864000,1687985925556,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37161284,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37161284&format=geojson,,,6.692,,reviewed,0,716,ci,37161284,",ci37161284,ushis722,iscgem910569,",",ci,ushis,iscgem,",",impact-text,nearby-cities,origin,shakemap,",,,,,mw,earthquake,"M 6.8 - 14km SSE of Isla Vista, CA",2,Point,"[-119.8, 34.3, 10]",2
