,mag_max,event_count,mag_mean,mag_sum,longitude_mean,latitude_mean,depth_mean,time_diff_float_mean,time_diff_float_std,depth_std,latitude_std,longitude_std,mag_scatter,weight_richter,weight_Mw
mag_max,1.0,0.42951911624618755,0.6534342058636976,0.46150539295053145,-0.26995973838398174,0.4043383878036845,-0.0034423207557815884,-0.309324769982468,-0.22176011122864275,0.06982556620061525,0.16126585329202411,0.1632040789900399,0.7411071295102939,0.4026833405548748,0.9239754768628747
event_count,0.42951911624618755,1.0,0.044906811812331165,0.9939910280870061,-0.3426882443588639,0.4616349515945647,-0.029953111002611384,-0.407152377306308,-0.3589715011203765,0.03117096247821724,0.22288798063765872,0.1490077494043575,0.11820686628413965,0.05135987347094767,0.3992524421847264
mag_mean,0.6534342058636976,0.044906811812331165,1.0,0.10962309073757122,-0.01735979222122202,0.14211086055910105,0.07180639218152188,0.08793414023482261,0.07103991468025968,0.02990725297347335,-0.00894510260123028,-0.04161639032140159,0.4789265603563116,0.19462636067208994,0.6124344079588722
mag_sum,0.46150539295053145,0.9939910280870061,0.10962309073757122,1.0,-0.3250800089508905,0.44754807474394415,-0.0264677111324794,-0.37732500173974465,-0.3324416905026621,0.03244514021500495,0.2021096136238744,0.1270675212193949,0.15327926049036494,0.06809511729248366,0.4277012216830529
longitude_mean,-0.26995973838398174,-0.3426882443588639,-0.01735979222122202,-0.3250800089508905,1.0,-0.8318350389586618,-0.03424363704076352,0.43063402732363565,0.4231525108181052,0.03958372739337748,-0.06316658996838562,0.0043957062364203036,-0.06963731188475239,0.002218966163326311,-0.2668740597591096
latitude_mean,0.4043383878036845,0.4616349515945647,0.14211086055910105,0.44754807474394415,-0.8318350389586618,1.0,-0.0702239525464402,-0.46421146496696103,-0.41274356074544816,-0.09154090924663319,0.2489690765585345,0.08233487954944778,0.15391722569594243,0.05968024384456597,0.3759969941032331
depth_mean,-0.0034423207557815884,-0.029953111002611384,0.07180639218152188,-0.0264677111324794,-0.03424363704076352,-0.0702239525464402,1.0,0.03569437848073504,-0.0038786050684298996,0.29172943324158207,0.013057290932292702,-0.03716839120122434,-0.053503746392233334,-0.03213388676541129,0.010361119715886033
time_diff_float_mean,-0.309324769982468,-0.407152377306308,0.08793414023482261,-0.37732500173974465,0.43063402732363565,-0.46421146496696103,0.03569437848073504,1.0,0.5765758370314167,-0.02948284829444569,-0.20870955868700483,-0.25783849074812937,-0.034845141683899704,-0.0384787665894409,-0.27174628506010406
time_diff_float_std,-0.22176011122864275,-0.3589715011203765,0.07103991468025968,-0.3324416905026621,0.4231525108181052,-0.41274356074544816,-0.0038786050684298996,0.5765758370314167,1.0,-0.03664094069024103,-0.16856516920052303,-0.24071854182533306,0.04823966203478997,-0.038170762081943,-0.20745330189551447
depth_std,0.06982556620061525,0.03117096247821724,0.02990725297347335,0.03244514021500495,0.03958372739337748,-0.09154090924663319,0.29172943324158207,-0.02948284829444569,-0.03664094069024103,1.0,0.09557323630988263,0.11003767971453392,0.08512701156858145,0.030238579888681963,0.06505442075686198
latitude_std,0.16126585329202411,0.22288798063765872,-0.00894510260123028,0.2021096136238744,-0.06316658996838562,0.2489690765585345,0.013057290932292702,-0.20870955868700483,-0.16856516920052303,0.09557323630988263,1.0,0.6510003912733975,0.1527103747088524,0.037900213372383695,0.13628767199984818
longitude_std,0.1632040789900399,0.1490077494043575,-0.04161639032140159,0.1270675212193949,0.0043957062364203036,0.08233487954944778,-0.03716839120122434,-0.25783849074812937,-0.24071854182533306,0.11003767971453392,0.6510003912733975,1.0,0.11673785919897249,0.05017422341416642,0.1379667460165241
mag_scatter,0.7411071295102939,0.11820686628413965,0.4789265603563116,0.15327926049036494,-0.06963731188475239,0.15391722569594243,-0.053503746392233334,-0.034845141683899704,0.04823966203478997,0.08512701156858145,0.1527103747088524,0.11673785919897249,1.0,0.3792094529243,0.6810374708652613
weight_richter,0.4026833405548748,0.05135987347094767,0.19462636067208994,0.06809511729248366,0.002218966163326311,0.05968024384456597,-0.03213388676541129,-0.0384787665894409,-0.038170762081943,0.030238579888681963,0.037900213372383695,0.05017422341416642,0.3792094529243,1.0,0.3974896392348941
weight_Mw,0.9239754768628747,0.3992524421847264,0.6124344079588722,0.4277012216830529,-0.2668740597591096,0.3759969941032331,0.010361119715886033,-0.27174628506010406,-0.20745330189551447,0.06505442075686198,0.13628767199984818,0.1379667460165241,0.6810374708652613,0.3974896392348941,1.0
