,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5.83,"29 km NE of San Lucas, California",-1370757722170,1652118407076,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgemsup909954,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgemsup909954&format=geojson,,,,,reviewed,0,523,iscgemsup,909954,",ushis745,iscgemsup909954,",",ushis,iscgemsup,",",impact-text,origin,",,,,,mw,earthquake,"M 5.8 - 29 km NE of San Lucas, California",0,Point,"[-120.77, 36.3, 10]",0
0,5,"25 km SSW of Posey, California",-1372933740000,1528145024000,,https://earthquake.usgs.gov/earthquakes/eventpage/ushis742,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ushis742&format=geojson,,,,,reviewed,0,385,ushis,742,",ushis742,",",ushis,",",impact-text,origin,",,,,,ml,earthquake,"M 5.0 - 25 km SSW of Posey, California",1,Point,"[-118.8, 35.6, None]",1
0,5.5,"10 km NE of Toro Canyon, California",-1372984740000,1528145024000,,https://earthquake.usgs.gov/earthquakes/eventpage/ushis741,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ushis741&format=geojson,,,,,reviewed,0,465,ushis,741,",ushis741,",",ushis,",",impact-text,origin,",,,,,ml,earthquake,"M 5.5 - 10 km NE of Toro Canyon, California",2,Point,"[-119.5, 34.5, None]",2
