,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5,"4 km NE of Coalinga, California",-1357396860000,1528145024000,,https://earthquake.usgs.gov/earthquakes/eventpage/ushis756,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ushis756&format=geojson,,,,,reviewed,0,385,ushis,756,",ushis756,",",ushis,",",impact-text,origin,",,,,,ml,earthquake,"M 5.0 - 4 km NE of Coalinga, California",0,Point,"[-120.32, 36.17, None]",0
0,5.5,"1 km WNW of Davenport, California",-1362877690500,1528145024000,,https://earthquake.usgs.gov/earthquakes/eventpage/ushis752,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ushis752&format=geojson,,,,,reviewed,0,465,ushis,752,",ushis752,",",ushis,",",impact-text,origin,",,,,,ml,earthquake,"M 5.5 - 1 km WNW of Davenport, California",1,Point,"[-122.208, 37.017, None]",1
0,6.31,"16 km SW of Davenport, California",-1363083870690,1650928825950,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem910175,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem910175&format=geojson,,,6.073,,reviewed,0,613,iscgem,910175,",iscgem910175,ushis751,",",iscgem,ushis,",",associate,disassociate,impact-text,origin,shakemap,trump-origin,",,,,,mw,earthquake,"M 6.3 - 16 km SW of Davenport, California",2,Point,"[-122.341, 36.924, 10]",2
0,6.35,"22 km S of Davenport, California",-1363087483830,1650928820229,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem910174,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem910174&format=geojson,,,,,reviewed,0,620,iscgem,910174,",iscgem910174,",",iscgem,",",origin,",,,,,mw,earthquake,"M 6.4 - 22 km S of Davenport, California",3,Point,"[-122.205, 36.808, 15]",3
0,6.1,"36 km W of Del Monte Forest, California",-1363087500000,1528145024000,,https://earthquake.usgs.gov/earthquakes/eventpage/ushis750,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ushis750&format=geojson,,,,,reviewed,0,572,ushis,750,",ushis750,",",ushis,",",impact-text,origin,",,,,,ms,earthquake,"M 6.1 - 36 km W of Del Monte Forest, California",4,Point,"[-122.35, 36.617, None]",4
