,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,4,"19 km WSW of Gelibolu, Turkey",232824285200,1415316101990,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000ny1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000ny1&format=geojson,,,,,reviewed,0,246,us,p0000ny1,",usp0000ny1,",",us,",",origin,",,,,,ml,earthquake,"M 4.0 - 19 km WSW of Gelibolu, Turkey",0,Point,"[26.452, 40.351, 33]",0
0,4.6,"10 km NW of Dursunbey, Turkey",227966153400,1598404980179,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000n2x,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000n2x&format=geojson,,,4.366,,reviewed,0,326,us,p0000n2x,",usp0000n2x,",",us,",",origin,shakemap,",,,,,mb,earthquake,"M 4.6 - 10 km NW of Dursunbey, Turkey",1,Point,"[28.547, 39.659, 23]",1
0,3.7,"2 km WNW of Sitagroí, Greece",226908367200,1415316100122,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000mvq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000mvq&format=geojson,,,,,reviewed,0,211,us,p0000mvq,",usp0000mvq,",",us,",",origin,",,,,,ml,earthquake,"M 3.7 - 2 km WNW of Sitagroí, Greece",2,Point,"[24.001, 41.119, 33]",2
