,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5.9,"21 km SSW of Aslanapa, Turkey",43998206790,1651007789599,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem784936,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem784936&format=geojson,,,6.729,,reviewed,0,536,iscgem,784936,",atlas19710525054326,iscgem784936,",",atlas,iscgem,",",origin,shakemap,trump-shakemap,",,,,,mw,earthquake,"M 5.9 - 21 km SSW of Aslanapa, Turkey",0,Point,"[29.778, 39.032, 10]",0
0,5.14,"26 km NE of Bingöl, Turkey",43781658540,1651007765077,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem784840,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem784840&format=geojson,,,,,reviewed,0,406,iscgem,784840,",iscgem784840,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.1 - 26 km NE of Bingöl, Turkey",1,Point,"[40.728, 39.04, 15]",1
0,5.13,"24 km E of Gediz, Turkey",42351874760,1651007710499,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem784123,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem784123&format=geojson,,,,,reviewed,0,405,iscgem,784123,",iscgem784123,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.1 - 24 km E of Gediz, Turkey",2,Point,"[29.677, 39.021, 15]",2
0,5.21,"5 km ENE of ?kizce, Turkey",40754257980,1651007939246,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem785686,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem785686&format=geojson,,,,,reviewed,0,418,iscgem,785686,",iscgem785686,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.2 - 5 km ENE of ?kizce, Turkey",3,Point,"[37.143, 41.069, 15]",3
