,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,4.9,"21 km NNW of Emet, Turkey",202367424500,1415316095502,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000gnq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000gnq&format=geojson,,,,,reviewed,0,369,us,p0000gnq,",usp0000gnq,",",us,",",origin,",,,,,mb,earthquake,"M 4.9 - 21 km NNW of Emet, Turkey",0,Point,"[29.198, 39.531, 60]",0
0,3.5,"8 km NW of Emet, Turkey",202323737500,1415316095488,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000gn5,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000gn5&format=geojson,,,,,reviewed,0,188,us,p0000gn5,",usp0000gn5,",",us,",",origin,",,,,,ml,earthquake,"M 3.5 - 8 km NW of Emet, Turkey",1,Point,"[29.174, 39.388, 2]",1
0,4,"5 km NW of Mudanya, Turkey",202257729500,1415316095476,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000gmk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000gmk&format=geojson,,,,,reviewed,0,246,us,p0000gmk,",usp0000gmk,",",us,",",origin,",,,,,mb,earthquake,"M 4.0 - 5 km NW of Mudanya, Turkey",2,Point,"[28.845, 40.413, 14]",2
0,3.4,"2 km WNW of Emet, Turkey",202233185500,1415316095471,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000gmd,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000gmd&format=geojson,,,,,reviewed,0,178,us,p0000gmd,",usp0000gmd,",",us,",",origin,",,,,,ml,earthquake,"M 3.4 - 2 km WNW of Emet, Turkey",3,Point,"[29.227, 39.353, 5]",3
0,3.5,"9 km WSW of Emet, Turkey",202231566000,1415316095469,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000gmb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000gmb&format=geojson,,,,,reviewed,0,188,us,p0000gmb,",usp0000gmb,",",us,",",origin,",,,,,mb,earthquake,"M 3.5 - 9 km WSW of Emet, Turkey",4,Point,"[29.153, 39.317, 5]",4
0,4.2,"3 km WSW of Emet, Turkey",202189529300,1415316095460,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000gkz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000gkz&format=geojson,,,,,reviewed,0,271,us,p0000gkz,",usp0000gkz,",",us,",",origin,",,,,,mb,earthquake,"M 4.2 - 3 km WSW of Emet, Turkey",5,Point,"[29.214, 39.335, 3]",5
0,3.2,"9 km WSW of Emet, Turkey",202186862500,1415316095459,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000gky,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000gky&format=geojson,,,,,reviewed,0,158,us,p0000gky,",usp0000gky,",",us,",",origin,",,,,,ml,earthquake,"M 3.2 - 9 km WSW of Emet, Turkey",6,Point,"[29.155, 39.311, 5]",6
0,3.2,"6 km WSW of Emet, Turkey",202183855800,1415316095458,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000gkx,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000gkx&format=geojson,,,,,reviewed,0,158,us,p0000gkx,",usp0000gkx,",",us,",",origin,",,,,,ml,earthquake,"M 3.2 - 6 km WSW of Emet, Turkey",7,Point,"[29.187, 39.322, 10]",7
0,3.2,"3 km W of Emet, Turkey",202176479500,1415316095456,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000gkt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000gkt&format=geojson,,,,,reviewed,0,158,us,p0000gkt,",usp0000gkt,",",us,",",origin,",,,,,ml,earthquake,"M 3.2 - 3 km W of Emet, Turkey",8,Point,"[29.222, 39.339, 3]",8
0,4.2,"6 km WNW of Emet, Turkey",202172977900,1415316095452,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000gkn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000gkn&format=geojson,,,,,reviewed,0,271,us,p0000gkn,",usp0000gkn,",",us,",",origin,",,,,,mb,earthquake,"M 4.2 - 6 km WNW of Emet, Turkey",9,Point,"[29.186, 39.365, 5]",9
