,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5.57,"20 km SW of Karl?ova, Turkey",-106228698390,1651014785896,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem844741,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem844741&format=geojson,,,,,reviewed,0,477,iscgem,844741,",iscgem844741,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.6 - 20 km SW of Karl?ova, Turkey",0,Point,"[40.868, 39.14, 10]",0
0,6.23,"18 km NNE of Karl?ova, Turkey",-106228846030,1651014779479,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem844740,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem844740&format=geojson,,,6.65,,reviewed,0,597,iscgem,844740,",iscgem844740,",",iscgem,",",origin,shakemap,",,,,,mw,earthquake,"M 6.2 - 18 km NNE of Karl?ova, Turkey",1,Point,"[41.094, 39.438, 25]",1
0,5.14,"6 km SSE of Varto, Turkey",-106291125540,1651014766913,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem844717,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem844717&format=geojson,,,,,reviewed,0,406,iscgem,844717,",iscgem844717,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.1 - 6 km SSE of Varto, Turkey",2,Point,"[41.493, 39.127, 10]",2
0,5.25,,-106306925380,1651014760464,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem844705,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem844705&format=geojson,,,,,reviewed,0,424,iscgem,844705,",iscgem844705,",",iscgem,",",origin,",,,,,mw,earthquake,M 5.3 - ,3,Point,"[41.302, 39.309, 10]",3
0,5.42,eastern Turkey,-106308336580,1651014754136,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem844699,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem844699&format=geojson,,,,,reviewed,0,452,iscgem,844699,",iscgem844699,",",iscgem,",",origin,",,,,,mw,earthquake,M 5.4 - eastern Turkey,4,Point,"[41.813, 39.024, 10]",4
0,6.8,"12 km ENE of Varto, Turkey",-106313867280,1651014752858,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem844692,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem844692&format=geojson,,,8.399,,reviewed,0,711,iscgem,844692,",atlas19660819122210,iscgem844692,",",atlas,iscgem,",",origin,shakemap,trump-shakemap,",,,,,mw,earthquake,"M 6.8 - 12 km ENE of Varto, Turkey",5,Point,"[41.572, 39.235, 24.7]",5
