,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5.35,"24 km SSW of Yedisu, Turkey",-39928066630,1651011748101,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem817361,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem817361&format=geojson,,,,,reviewed,0,440,iscgem,817361,",iscgem817361,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.4 - 24 km SSW of Yedisu, Turkey",0,Point,"[40.406, 39.231, 10]",0
0,5.25,"26 km ESE of Yayladere, Turkey",-40074004870,1651011743486,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem817327,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem817327&format=geojson,,,5.7,,reviewed,0,424,iscgem,817327,",iscgem817327,atlas19680924041954,",",iscgem,atlas,",",origin,shakemap,trump-shakemap,",,,,,mw,earthquake,"M 5.3 - 26 km ESE of Yayladere, Turkey",1,Point,"[40.361, 39.142, 10]",1
0,6.33,"14 km NNE of Amasra, Turkey",-41874003170,1651011613552,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem816634,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem816634&format=geojson,,,6.858,,reviewed,0,616,iscgem,816634,",iscgem816634,atlas19680903081953,",",iscgem,atlas,",",origin,shakemap,trump-shakemap,",,,,,mw,earthquake,"M 6.3 - 14 km NNE of Amasra, Turkey",2,Point,"[32.463, 41.86, 20]",2
