,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,3.5,"36 km NNW of Mýrina, Greece",430859077790,1415320420360,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xze,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xze&format=geojson,,,,,reviewed,0,188,us,p0001xze,",usp0001xze,",",us,",",origin,phase-data,",,,0.6,,ml,earthquake,"M 3.5 - 36 km NNW of Mýrina, Greece",0,Point,"[24.838, 40.159, 10]",0
0,3.5,"36 km NW of Mýrina, Greece",430623921120,1415320420072,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xxc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xxc&format=geojson,,,,,reviewed,0,188,us,p0001xxc,",usp0001xxc,",",us,",",origin,phase-data,",,,0.5,,ml,earthquake,"M 3.5 - 36 km NW of Mýrina, Greece",1,Point,"[24.806, 40.133, 10]",1
0,3.7,"36 km NNW of Mýrina, Greece",430602820150,1415320420050,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xx4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xx4&format=geojson,,,,,reviewed,0,211,us,p0001xx4,",usp0001xx4,",",us,",",origin,phase-data,",,,0.8,,mb,earthquake,"M 3.7 - 36 km NNW of Mýrina, Greece",2,Point,"[24.881, 40.173, 10]",2
0,3.7,"44 km SSE of Limenária, Greece",430510685160,1415320419867,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xwa,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xwa&format=geojson,,,,,reviewed,0,211,us,p0001xwa,",usp0001xwa,",",us,",",origin,phase-data,",,,1.1,,ml,earthquake,"M 3.7 - 44 km SSE of Limenária, Greece",3,Point,"[24.838, 40.279, 12.3]",3
0,4.3,"37 km WNW of Mýrina, Greece",430465323120,1415320419750,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xvw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xvw&format=geojson,,,,,reviewed,0,284,us,p0001xvw,",usp0001xvw,",",us,",",origin,phase-data,",,,1,,mb,earthquake,"M 4.3 - 37 km WNW of Mýrina, Greece",4,Point,"[24.636, 39.949, 8.5]",4
0,3.6,"35 km NW of Mýrina, Greece",430398026330,1415320419667,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xv4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xv4&format=geojson,,,,,reviewed,0,199,us,p0001xv4,",usp0001xv4,",",us,",",origin,phase-data,",,,0.9,,ml,earthquake,"M 3.6 - 35 km NW of Mýrina, Greece",5,Point,"[24.809, 40.124, 10]",5
0,3.5,"37 km E of Karyes, Greece",430343694260,1415320419268,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xue,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xue&format=geojson,,,,,reviewed,0,188,us,p0001xue,",usp0001xue,",",us,",",origin,phase-data,",,,1.3,,ml,earthquake,"M 3.5 - 37 km E of Karyes, Greece",6,Point,"[24.681, 40.251, 10]",6
0,3.6,"38 km ESE of Karyes, Greece",430300554050,1415320419203,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xu4,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xu4&format=geojson,,,,,reviewed,0,199,us,p0001xu4,",usp0001xu4,",",us,",",origin,phase-data,",,,0.9,,mb,earthquake,"M 3.6 - 38 km ESE of Karyes, Greece",7,Point,"[24.66, 40.126, 10]",7
0,3.5,"36 km SE of Karyes, Greece",430209972390,1415320419098,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xt9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xt9&format=geojson,,,,,reviewed,0,188,us,p0001xt9,",usp0001xt9,",",us,",",origin,phase-data,",,,0.8,,ml,earthquake,"M 3.5 - 36 km SE of Karyes, Greece",8,Point,"[24.606, 40.072, 10]",8
0,3.6,"37 km ESE of Karyes, Greece",430208330810,1415320419081,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xt7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xt7&format=geojson,,,,,reviewed,0,199,us,p0001xt7,",usp0001xt7,",",us,",",origin,phase-data,",,,0.9,,mb,earthquake,"M 3.6 - 37 km ESE of Karyes, Greece",9,Point,"[24.644, 40.118, 10]",9
0,4.1,"36 km NW of Mýrina, Greece",430116197390,1415320418990,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xs7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xs7&format=geojson,,,,,reviewed,0,259,us,p0001xs7,",usp0001xs7,",",us,",",origin,phase-data,",,,0.9,,mb,earthquake,"M 4.1 - 36 km NW of Mýrina, Greece",10,Point,"[24.819, 40.14, 10.8]",10
0,3.9,"32 km NW of Mýrina, Greece",430060253010,1415320418927,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xrt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xrt&format=geojson,,,,,reviewed,0,234,us,p0001xrt,",usp0001xrt,",",us,",",origin,phase-data,",,,0.8,,ml,earthquake,"M 3.9 - 32 km NW of Mýrina, Greece",11,Point,"[24.813, 40.093, 10]",11
0,3.8,"32 km NW of Mýrina, Greece",429967592070,1415320418787,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xqz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xqz&format=geojson,,,,,reviewed,0,222,us,p0001xqz,",usp0001xqz,",",us,",",origin,phase-data,",,,0.8,,mb,earthquake,"M 3.8 - 32 km NW of Mýrina, Greece",12,Point,"[24.816, 40.098, 16.7]",12
0,3.8,"32 km NNW of Mýrina, Greece",429806598370,1415320418618,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xpv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xpv&format=geojson,,,,,reviewed,0,222,us,p0001xpv,",usp0001xpv,",",us,",",origin,phase-data,",,,1,,mb,earthquake,"M 3.8 - 32 km NNW of Mýrina, Greece",13,Point,"[24.87, 40.124, 10]",13
0,3.8,"43 km NNW of Mýrina, Greece",429634775100,1415320418369,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xna,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xna&format=geojson,,,,,reviewed,0,222,us,p0001xna,",usp0001xna,",",us,",",origin,phase-data,",,,0.9,,ml,earthquake,"M 3.8 - 43 km NNW of Mýrina, Greece",14,Point,"[24.897, 40.249, 10]",14
0,3.5,"39 km N of Mýrina, Greece",429563312160,1415320418310,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xmw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xmw&format=geojson,,,,,reviewed,0,188,us,p0001xmw,",usp0001xmw,",",us,",",origin,phase-data,",,,0.8,,ml,earthquake,"M 3.5 - 39 km N of Mýrina, Greece",15,Point,"[25.099, 40.227, 10]",15
0,3.8,"35 km NNW of Mýrina, Greece",429521327340,1415320418183,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xmg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xmg&format=geojson,,,,,reviewed,0,222,us,p0001xmg,",usp0001xmg,",",us,",",origin,phase-data,",,,1,,ml,earthquake,"M 3.8 - 35 km NNW of Mýrina, Greece",16,Point,"[24.884, 40.163, 10]",16
0,3.5,"37 km NW of Mýrina, Greece",429481348030,1415320417840,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xm2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xm2&format=geojson,,,,,reviewed,0,188,us,p0001xm2,",usp0001xm2,",",us,",",origin,phase-data,",,,1.1,,ml,earthquake,"M 3.5 - 37 km NW of Mýrina, Greece",17,Point,"[24.788, 40.133, 10]",17
0,3.5,"29 km N of Mýrina, Greece",429412848260,1415320417612,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xkc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xkc&format=geojson,,,,,reviewed,0,188,us,p0001xkc,",usp0001xkc,",",us,",",origin,phase-data,",,,1.2,,ml,earthquake,"M 3.5 - 29 km N of Mýrina, Greece",18,Point,"[25.068, 40.136, 10]",18
0,3.9,"37 km NW of Mýrina, Greece",429411876070,1415320417604,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xkb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xkb&format=geojson,,,,,reviewed,0,234,us,p0001xkb,",usp0001xkb,",",us,",",origin,phase-data,",,,1.1,,mb,earthquake,"M 3.9 - 37 km NW of Mýrina, Greece",19,Point,"[24.787, 40.139, 9.2]",19
0,3.5,"35 km NNW of Mýrina, Greece",429402613610,1415320417600,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xk9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xk9&format=geojson,,,,,reviewed,0,188,us,p0001xk9,",usp0001xk9,",",us,",",origin,phase-data,",,,1.3,,ml,earthquake,"M 3.5 - 35 km NNW of Mýrina, Greece",20,Point,"[24.932, 40.176, 10]",20
0,3.2,"31 km N of Mýrina, Greece",429361846150,1415320417561,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xjy,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xjy&format=geojson,,,,,reviewed,0,158,us,p0001xjy,",usp0001xjy,",",us,",",origin,phase-data,",,,1.4,,ml,earthquake,"M 3.2 - 31 km N of Mýrina, Greece",21,Point,"[24.999, 40.157, 10]",21
0,3.6,"25 km NNW of Mýrina, Greece",429358832910,1415320417454,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xjv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xjv&format=geojson,,,,,reviewed,0,199,us,p0001xjv,",usp0001xjv,",",us,",",origin,phase-data,",,,1.3,,ml,earthquake,"M 3.6 - 25 km NNW of Mýrina, Greece",22,Point,"[25.001, 40.097, 10]",22
0,3.5,"40 km NNW of Mýrina, Greece",429358443060,1415320417447,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xju,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xju&format=geojson,,,,,reviewed,0,188,us,p0001xju,",usp0001xju,",",us,",",origin,phase-data,",,,0.4,,ml,earthquake,"M 3.5 - 40 km NNW of Mýrina, Greece",23,Point,"[24.87, 40.205, 10]",23
0,3.5,"31 km NNW of Mýrina, Greece",429340453410,1415320417283,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xjq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xjq&format=geojson,,,,,reviewed,0,188,us,p0001xjq,",usp0001xjq,",",us,",",origin,phase-data,",,,1.4,,ml,earthquake,"M 3.5 - 31 km NNW of Mýrina, Greece",24,Point,"[24.888, 40.126, 10]",24
0,3.6,"37 km NNW of Mýrina, Greece",429320516330,1415320417251,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xjg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xjg&format=geojson,,,,,reviewed,0,199,us,p0001xjg,",usp0001xjg,",",us,",",origin,phase-data,",,,1.5,,ml,earthquake,"M 3.6 - 37 km NNW of Mýrina, Greece",25,Point,"[24.884, 40.179, 10]",25
0,3.5,"35 km SE of Karyes, Greece",429261915570,1415320417173,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xhv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xhv&format=geojson,,,,,reviewed,0,188,us,p0001xhv,",usp0001xhv,",",us,",",origin,phase-data,",,,1.5,,ml,earthquake,"M 3.5 - 35 km SE of Karyes, Greece",26,Point,"[24.585, 40.08, 10]",26
0,3.4,"35 km NW of Mýrina, Greece",429240252540,1415320417142,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xhj,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xhj&format=geojson,,,,,reviewed,0,178,us,p0001xhj,",usp0001xhj,",",us,",",origin,phase-data,",,,0.7,,ml,earthquake,"M 3.4 - 35 km NW of Mýrina, Greece",27,Point,"[24.816, 40.136, 4.4]",27
0,3.8,"37 km NW of Mýrina, Greece",429239227880,1415320417134,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xhg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xhg&format=geojson,,,,,reviewed,0,222,us,p0001xhg,",usp0001xhg,",",us,",",origin,phase-data,",,,1,,mb,earthquake,"M 3.8 - 37 km NW of Mýrina, Greece",28,Point,"[24.799, 40.143, 16.8]",28
0,3.4,"46 km W of Mýrina, Greece",429228365860,1415320417100,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xhc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xhc&format=geojson,,,,,reviewed,0,178,us,p0001xhc,",usp0001xhc,",",us,",",origin,phase-data,",,,0.6,,mb,earthquake,"M 3.4 - 46 km W of Mýrina, Greece",29,Point,"[24.526, 39.899, 10]",29
0,3.8,"33 km NW of Mýrina, Greece",429209944330,1415320417083,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xh7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xh7&format=geojson,,,,,reviewed,0,222,us,p0001xh7,",usp0001xh7,",",us,",",origin,phase-data,",,,1.1,,mb,earthquake,"M 3.8 - 33 km NW of Mýrina, Greece",30,Point,"[24.806, 40.097, 10]",30
0,3.4,"35 km NNW of Mýrina, Greece",429206604890,1415320417066,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xh2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xh2&format=geojson,,,,,reviewed,0,178,us,p0001xh2,",usp0001xh2,",",us,",",origin,phase-data,",,,1,,ml,earthquake,"M 3.4 - 35 km NNW of Mýrina, Greece",31,Point,"[24.905, 40.17, 10]",31
0,3.9,"34 km SE of Sykiá, Greece",429201776900,1415320417057,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xh0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xh0&format=geojson,,,,,reviewed,0,234,us,p0001xh0,",usp0001xh0,",",us,",",origin,phase-data,",,,0.8,,mb,earthquake,"M 3.9 - 34 km SE of Sykiá, Greece",32,Point,"[24.234, 39.826, 12.5]",32
0,3.3,"24 km WNW of Mýrina, Greece",429194756220,1415320417041,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001xgv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001xgv&format=geojson,,,,,reviewed,0,168,us,p0001xgv,",usp0001xgv,",",us,",",origin,phase-data,",,,1.6,,ml,earthquake,"M 3.3 - 24 km WNW of Mýrina, Greece",33,Point,"[24.817, 39.984, 10]",33
