,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,4.2,"17 km WNW of Yedisu, Turkey",1423522373840,1430779671040,,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tnk0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tnk0&format=geojson,0,1,,,reviewed,0,271,us,c000tnk0,",usc000tnk0,",",us,",",cap,dyfi,origin,phase-data,",,0.528,1.08,45,mb,earthquake,"M 4.2 - 17 km WNW of Yedisu, Turkey",0,Point,"[40.3446, 39.5019, 10]",0
0,4.3,"14 km NNE of Gökçeada, Turkey",1422852064800,1430575527040,,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tkw3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tkw3&format=geojson,0,1,,,reviewed,0,284,us,c000tkw3,",usc000tkw3,",",us,",",cap,dyfi,origin,phase-data,",,2.67,1.09,42,mb,earthquake,"M 4.3 - 14 km NNE of Gökçeada, Turkey",1,Point,"[25.9644, 40.3229, 9.28]",1
0,4.2,"15 km E of Mustafakemalpa?a, Turkey",1422008382130,1658938084932,,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tijv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tijv&format=geojson,1,2,,,reviewed,0,272,us,c000tijv,",usc000tijv,",",us,",",cap,dyfi,impact-text,origin,phase-data,",,,1.01,,mb,earthquake,"M 4.2 - 15 km E of Mustafakemalpa?a, Turkey",2,Point,"[28.587, 40.065, 5]",2
0,4.1,"9 km N of Mantamádos, Greece",1421708391510,1429545936040,,https://earthquake.usgs.gov/earthquakes/eventpage/usc000thc8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000thc8&format=geojson,0,1,,,reviewed,0,259,us,c000thc8,",usc000thc8,",",us,",",dyfi,origin,phase-data,",,,0.95,,ml,earthquake,"M 4.1 - 9 km N of Mantamádos, Greece",3,Point,"[26.3202, 39.399, 14.9]",3
0,4.3,"16 km NW of Eski?ehir, Turkey",1421455354970,1429544094040,,https://earthquake.usgs.gov/earthquakes/eventpage/usc000tgnq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000tgnq&format=geojson,0,1,,,reviewed,0,284,us,c000tgnq,",usc000tgnq,",",us,",",dyfi,origin,phase-data,",,,0.93,,mb,earthquake,"M 4.3 - 16 km NW of Eski?ehir, Turkey",4,Point,"[30.3955, 39.8848, 5.5]",4
