,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5.1,"10 km N of Ayvac?k, Turkey",1550687009480,1594401955201,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jkr3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jkr3&format=geojson,140,4.3,5.965,green,reviewed,0,460,us,2000jkr3,",us2000jkr3,",",us,",",dyfi,impact-text,losspager,moment-tensor,origin,phase-data,shakemap,",,1.222,0.75,37,mww,earthquake,"M 5.1 - 10 km N of Ayvac?k, Turkey",0,Point,"[26.4007, 39.6916, 10]",0
0,4.1,"21 km NW of Biga, Turkey",1550612036760,1557596441040,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jk8x,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jk8x&format=geojson,,,,,reviewed,0,259,us,2000jk8x,",us2000jk8x,",",us,",",origin,phase-data,",,0.938,1.09,34,mb,earthquake,"M 4.1 - 21 km NW of Biga, Turkey",1,Point,"[27.0809, 40.375, 10]",1
0,4.2,"17 km SW of Orta, Turkey",1549992205530,1556748035040,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jgqq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jgqq&format=geojson,,,,,reviewed,0,271,us,2000jgqq,",us2000jgqq,",",us,",",origin,phase-data,",,0.646,0.98,41,mb,earthquake,"M 4.2 - 17 km SW of Orta, Turkey",2,Point,"[32.9729, 40.4999, 10]",2
0,4.8,"13 km WSW of Orta, Turkey",1549991670950,1556748035040,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000jgqe,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000jgqe&format=geojson,10,3.8,,,reviewed,0,358,us,2000jgqe,",us2000jgqe,",",us,",",dyfi,moment-tensor,origin,phase-data,",,0.723,1,16,mwr,earthquake,"M 4.8 - 13 km WSW of Orta, Turkey",3,Point,"[32.9597, 40.5807, 10]",3
0,4.4,"11 km N of Akhisar, Turkey",1548558942800,1555089336040,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j9c9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j9c9&format=geojson,8,4.6,,,reviewed,0,302,us,2000j9c9,",us2000j9c9,",",us,",",dyfi,origin,phase-data,",,0.772,1.21,58,mb,earthquake,"M 4.4 - 11 km N of Akhisar, Turkey",4,Point,"[27.8388, 39.0216, 10]",4
0,3.4,"23 km SSW of Mudanya, Turkey",1547222997480,1554238332040,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j32l,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j32l&format=geojson,3,3.4,,,reviewed,0,179,us,2000j32l,",us2000j32l,",",us,",",dyfi,origin,phase-data,",,0.547,1.38,85,ml,earthquake,"M 3.4 - 23 km SSW of Mudanya, Turkey",5,Point,"[28.7761, 40.1781, 10]",5
0,3.7,"23 km N of Karacabey, Turkey",1546662015070,1552067416040,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j0fw,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000j0fw&format=geojson,1,2.7,,,reviewed,0,211,us,2000j0fw,",us2000j0fw,",",us,",",dyfi,impact-text,origin,phase-data,",,1.696,0.74,103,ml,earthquake,"M 3.7 - 23 km N of Karacabey, Turkey",6,Point,"[28.357, 40.4257, 10]",6
