,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,4.3,"27 km SSW of Bozcaada, Turkey",1527589502150,1535473700040,,https://earthquake.usgs.gov/earthquakes/eventpage/us1000edxl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000edxl&format=geojson,,,,,reviewed,0,284,us,1000edxl,",us1000edxl,",",us,",",origin,phase-data,",,1.285,0.72,46,mb,earthquake,"M 4.3 - 27 km SSW of Bozcaada, Turkey",0,Point,"[25.9776, 39.5988, 16.73]",0
0,4.1,"14 km S of Merzifon, Turkey",1526618108100,1534362416040,,https://earthquake.usgs.gov/earthquakes/eventpage/us1000e7st,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000e7st&format=geojson,,,,,reviewed,0,259,us,1000e7st,",us1000e7st,",",us,",",origin,phase-data,",,1.739,0.77,33,mb,earthquake,"M 4.1 - 14 km S of Merzifon, Turkey",1,Point,"[35.4851, 40.7412, 10]",1
0,4.3,"14 km W of Çan, Turkey",1525313074710,1532722831040,,https://earthquake.usgs.gov/earthquakes/eventpage/us1000dwe0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us1000dwe0&format=geojson,4,2.7,,,reviewed,0,286,us,1000dwe0,",us1000dwe0,",",us,",",dyfi,origin,phase-data,",,1.067,0.75,50,mb,earthquake,"M 4.3 - 14 km W of Çan, Turkey",2,Point,"[26.8817, 40.0364, 10]",2
0,4.1,"27 km SSW of Elaiochóri, Greece",1523360542830,1530930316040,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000dxhi,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000dxhi&format=geojson,,,,,reviewed,0,259,us,2000dxhi,",us2000dxhi,",",us,",",origin,phase-data,",,1.186,0.89,60,mb,earthquake,"M 4.1 - 27 km SSW of Elaiochóri, Greece",3,Point,"[24.1604, 40.5786, 10]",3
0,4.7,"12 km N of Bolu, Turkey",1523135793030,1659923927506,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000dw6w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000dw6w&format=geojson,14,4.6,,,reviewed,0,346,us,2000dw6w,",us2000dw6w,",",us,",",dyfi,origin,phase-data,",,0.496,0.65,17,mb,earthquake,"M 4.7 - 12 km N of Bolu, Turkey",4,Point,"[31.631, 40.8428, 10]",4
0,4.3,"22 km NW of Bingöl, Turkey",1520382834510,1528434732040,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000ddiz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000ddiz&format=geojson,1,3.1,,,reviewed,0,285,us,2000ddiz,",us2000ddiz,",",us,",",dyfi,origin,phase-data,",,1.43,0.94,41,mb,earthquake,"M 4.3 - 22 km NW of Bingöl, Turkey",5,Point,"[40.3055, 39.0277, 10]",5
0,4.2,"6 km NE of Otlukbeli, Turkey",1520067950890,1527383170040,,https://earthquake.usgs.gov/earthquakes/eventpage/us2000dblq,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2000dblq&format=geojson,1,3.1,,,reviewed,0,272,us,2000dblq,",us2000dblq,",",us,",",dyfi,origin,phase-data,",,0.322,0.91,57,mb,earthquake,"M 4.2 - 6 km NE of Otlukbeli, Turkey",6,Point,"[40.0779, 40.001, 10]",6
