,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5.54,"56 km SSE of Sykiá, Greece",-1210947174820,1650921001133,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem906950,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem906950&format=geojson,,,,,reviewed,0,472,iscgem,906950,",iscgem906950,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.5 - 56 km SSE of Sykiá, Greece",0,Point,"[24.26, 39.596, 15]",0
0,5.18,"14 km NE of Otlukbeli, Turkey",-1212536055380,1652117446925,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgemsup906908,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgemsup906908&format=geojson,,,,,reviewed,0,413,iscgemsup,906908,",iscgemsup906908,",",iscgemsup,",",origin,",,,,,mw,earthquake,"M 5.2 - 14 km NE of Otlukbeli, Turkey",1,Point,"[40.127, 40.065, 10]",1
0,5.58,"35 km WNW of Eresós, Greece",-1214098535680,1650925151945,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem906871,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem906871&format=geojson,,,,,reviewed,0,479,iscgem,906871,",iscgem906871,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.6 - 35 km WNW of Eresós, Greece",2,Point,"[25.583, 39.337, 15]",2
