,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5.67,"10 km SSW of ?hsangazi, Turkey",-1045123785080,1650922220990,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem903949,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem903949&format=geojson,,,,,reviewed,0,495,iscgem,903949,",iscgem903949,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.7 - 10 km SSW of ?hsangazi, Turkey",0,Point,"[33.502, 41.118, 15]",0
0,5.27,"20 km SW of Araç, Turkey",-1050062584260,1652116257380,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgemsup903853,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgemsup903853&format=geojson,,,,,reviewed,0,427,iscgemsup,903853,",iscgemsup903853,",",iscgemsup,",",origin,",,,,,mw,earthquake,"M 5.3 - 20 km SW of Araç, Turkey",1,Point,"[33.135, 41.131, 15]",1
0,5.43,"16 km ESE of Eflani, Turkey",-1050147168970,1652116252003,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgemsup903849,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgemsup903849&format=geojson,,,,,reviewed,0,454,iscgemsup,903849,",iscgemsup903849,",",iscgemsup,",",origin,",,,,,mw,earthquake,"M 5.4 - 16 km ESE of Eflani, Turkey",2,Point,"[33.128, 41.343, 15]",2
0,5.6,"7 km SSE of Araç, Turkey",-1050149915050,1650922056082,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem903848,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem903848&format=geojson,,,,,reviewed,0,482,iscgem,903848,",iscgem903848,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.6 - 7 km SSE of Araç, Turkey",3,Point,"[33.355, 41.181, 15]",3
