,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,3,"18 km ENE of K?rka?aç, Turkey",770381041130,1415321732953,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006dek,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0006dek&format=geojson,,,,,reviewed,0,138,us,p0006dek,",usp0006dek,",",us,",",origin,phase-data,",,,0.8,,ml,earthquake,"M 3.0 - 18 km ENE of K?rka?aç, Turkey",0,Point,"[27.859, 39.177, 10]",0
0,2.8,Western Turkey,770374834830,1415321732919,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006dee,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0006dee&format=geojson,,,,,reviewed,0,121,us,p0006dee,",usp0006dee,",",us,",",origin,phase-data,",,,1,,ml,earthquake,M 2.8 - Western Turkey,1,Point,"[27.929, 39.274, 5]",1
0,2.8,"5 km NE of K?rka?aç, Turkey",770367505170,1415321732912,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006dea,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0006dea&format=geojson,,,,,reviewed,0,121,us,p0006dea,",usp0006dea,",",us,",",origin,phase-data,",,,0.4,,ml,earthquake,"M 2.8 - 5 km NE of K?rka?aç, Turkey",2,Point,"[27.72, 39.142, 10]",2
0,2.6,"5 km S of Hal?dere, Turkey",770352196050,1415321732899,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006de3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0006de3&format=geojson,,,,,reviewed,0,104,us,p0006de3,",usp0006de3,",",us,",",origin,phase-data,",,,0.5,,ml,earthquake,"M 2.6 - 5 km S of Hal?dere, Turkey",3,Point,"[29.76, 40.669, 10]",3
0,2.6,"3 km SSE of ?hsaniye, Turkey",770343396720,1415321732894,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006de0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0006de0&format=geojson,,,,,reviewed,0,104,us,p0006de0,",usp0006de0,",",us,",",origin,phase-data,",,,0.3,,ml,earthquake,"M 2.6 - 3 km SSE of ?hsaniye, Turkey",4,Point,"[29.843, 40.66, 5]",4
0,3.5,"34 km N of Mýrina, Greece",770324910000,1415321732866,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006ddp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0006ddp&format=geojson,,,,,reviewed,0,188,us,p0006ddp,",usp0006ddp,",",us,",",origin,phase-data,",,,0.8,,ml,earthquake,"M 3.5 - 34 km N of Mýrina, Greece",5,Point,"[25.118, 40.186, 15.8]",5
0,2.8,Western Turkey,770319963380,1415321732850,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006ddk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0006ddk&format=geojson,,,,,reviewed,0,121,us,p0006ddk,",usp0006ddk,",",us,",",origin,phase-data,",,,0.6,,ml,earthquake,M 2.8 - Western Turkey,6,Point,"[29.007, 39.867, 5]",6
0,2.9,"14 km SE of Balya, Turkey",770316536980,1415321732847,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006ddh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0006ddh&format=geojson,,,,,reviewed,0,129,us,p0006ddh,",usp0006ddh,",",us,",",origin,phase-data,",,,0.6,,ml,earthquake,"M 2.9 - 14 km SE of Balya, Turkey",7,Point,"[27.706, 39.665, 10]",7
0,2.7,"29 km ENE of Band?rma, Turkey",770304105470,1415321732828,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006dd6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0006dd6&format=geojson,,,,,reviewed,0,112,us,p0006dd6,",usp0006dd6,",",us,",",origin,phase-data,",,,0.9,,ml,earthquake,"M 2.7 - 29 km ENE of Band?rma, Turkey",8,Point,"[28.275, 40.49, 10]",8
0,2.8,"14 km ENE of Soma, Turkey",770300133960,1415321732821,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0006dd1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0006dd1&format=geojson,,,,,reviewed,0,121,us,p0006dd1,",usp0006dd1,",",us,",",origin,phase-data,",,,1.1,,ml,earthquake,"M 2.8 - 14 km ENE of Soma, Turkey",9,Point,"[27.767, 39.233, 10]",9
