,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,4.5,"10 km NNW of ?aphane, Turkey",1369838612000,1415325055620,,https://earthquake.usgs.gov/earthquakes/eventpage/usb000h85k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000h85k&format=geojson,,,,,reviewed,0,312,us,b000h85k,",usb000h85k,",",us,",",cap,impact-text,origin,phase-data,",13,,,91.7,mb,earthquake,"M 4.5 - 10 km NNW of ?aphane, Turkey",0,Point,"[29.173, 39.115, 2.5]",0
0,4,"12 km ENE of Solhan, Turkey",1368601798010,1415325048493,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000k0px,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000k0px&format=geojson,,,,,reviewed,0,246,us,p000k0px,",usp000k0px,",",us,",",impact-text,origin,phase-data,",25,,,100,mb,earthquake,"M 4.0 - 12 km ENE of Solhan, Turkey",1,Point,"[41.177, 39.017, 5]",1
0,4.2,"10 km NW of Ta?ova, Turkey",1362693058630,1415325018667,,https://earthquake.usgs.gov/earthquakes/eventpage/us2013mlb9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us2013mlb9&format=geojson,,,,,reviewed,0,271,us,2013mlb9,",us2013mlb9,",",us,",",impact-text,origin,phase-data,",14,,,127.8,ml,earthquake,"M 4.2 - 10 km NW of Ta?ova, Turkey",2,Point,"[36.249, 40.833, 9]",2
