,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5.5,"10 km WNW of Pámfila, Greece",-796271134750,1651000094689,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem899571,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem899571&format=geojson,,,,,reviewed,0,465,iscgem,899571,",iscgem899571,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.5 - 10 km WNW of Pámfila, Greece",0,Point,"[26.406, 39.181, 15]",0
0,6.74,"15 km WSW of Alt?noluk, Turkey",-796425912370,1651000093323,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem899568,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem899568&format=geojson,,,6.841,,reviewed,0,699,iscgem,899568,",iscgem899568,",",iscgem,",",origin,shakemap,",,,,,mw,earthquake,"M 6.7 - 15 km WSW of Alt?noluk, Turkey",1,Point,"[26.587, 39.509, 15]",1
0,5.45,"15 km WNW of Osmanc?k, Turkey",-796938401050,1651000065122,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem899559,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem899559&format=geojson,,,,,reviewed,0,457,iscgem,899559,",iscgem899559,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.5 - 15 km WNW of Osmanc?k, Turkey",2,Point,"[34.643, 41.045, 15]",2
