,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5.42,,-528675143570,1652127088397,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgemsup891595,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgemsup891595&format=geojson,,,,,reviewed,0,452,iscgemsup,891595,",iscgemsup891595,",",iscgemsup,",",origin,",,,,,mw,earthquake,M 5.4 - ,0,Point,"[27.545, 39.7, 10]",0
0,5.35,"14 km ESE of Hamdibey, Turkey",-529728360820,1652127051211,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgemsup891570,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgemsup891570&format=geojson,,,,,reviewed,0,440,iscgemsup,891570,",iscgemsup891570,",",iscgemsup,",",origin,",,,,,mw,earthquake,"M 5.4 - 14 km ESE of Hamdibey, Turkey",1,Point,"[27.412, 39.812, 20]",1
0,5.43,"16 km SSE of Band?rma, Turkey",-529758376190,1652127038747,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgemsup891568,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgemsup891568&format=geojson,,,,,reviewed,0,454,iscgemsup,891568,",iscgemsup891568,",",iscgemsup,",",origin,",,,,,mw,earthquake,"M 5.4 - 16 km SSE of Band?rma, Turkey",2,Point,"[28.069, 40.223, 20]",2
0,5.49,"8 km NNW of Balya, Turkey",-529814511250,1650995399633,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem891564,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem891564&format=geojson,,,5.99,,reviewed,0,464,iscgem,891564,",iscgem891564,",",iscgem,",",origin,shakemap,",,,,,mw,earthquake,"M 5.5 - 8 km NNW of Balya, Turkey",3,Point,"[27.545, 39.821, 20]",3
0,7.3,"7 km N of Gönen, Turkey",-529822422260,1650995398321,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem891561,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem891561&format=geojson,,,7.834,,reviewed,0,820,iscgem,891561,",iscgem891561,",",iscgem,",",origin,shakemap,",,,,,mw,earthquake,"M 7.3 - 7 km N of Gönen, Turkey",4,Point,"[27.648, 40.175, 10]",4
