,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,4.5,"15 km W of Marmara, Turkey",1293829056720,1415324596932,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hscm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000hscm&format=geojson,,,,,reviewed,0,312,us,p000hscm,",usp000hscm,",",us,",",impact-text,origin,phase-data,",33,,,44.7,ml,earthquake,"M 4.5 - 15 km W of Marmara, Turkey",0,Point,"[27.367, 40.597, 8.6]",0
0,4.3,"7 km N of Otlukbeli, Turkey",1293377643120,1415324595447,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hs24,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000hs24&format=geojson,,,,,reviewed,0,284,us,p000hs24,",usp000hs24,",",us,",",impact-text,origin,phase-data,",59,,0.99,62.2,mb,earthquake,"M 4.3 - 7 km N of Otlukbeli, Turkey",1,Point,"[40.013, 40.036, 2.6]",1
0,4.6,"14 km NNW of Gökçeada, Turkey",1293340100090,1415324594985,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hs0j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000hs0j&format=geojson,,,,,reviewed,0,326,us,p000hs0j,",usp000hs0j,",",us,",",impact-text,origin,phase-data,",96,,1.03,35.8,mb,earthquake,"M 4.6 - 14 km NNW of Gökçeada, Turkey",2,Point,"[25.864, 40.326, 12.1]",2
0,4,"30 km NW of Mýrina, Greece",1293068415400,1415324592788,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hrmm,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000hrmm&format=geojson,,,,,reviewed,0,246,us,p000hrmm,",usp000hrmm,",",us,",",impact-text,origin,phase-data,",56,,,30.7,mb,earthquake,"M 4.0 - 30 km NW of Mýrina, Greece",3,Point,"[24.81, 40.07, 29]",3
0,4.4,"30 km NW of Mýrina, Greece",1293068148800,1415324592751,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hrmh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000hrmh&format=geojson,,,,,reviewed,0,298,us,p000hrmh,",usp000hrmh,",",us,",",impact-text,origin,phase-data,",70,,,28.7,ml,earthquake,"M 4.4 - 30 km NW of Mýrina, Greece",4,Point,"[24.8, 40.06, 25]",4
0,4.1,"27 km E of Pulumer, Turkey",1289109089000,1415324572966,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hp7w,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000hp7w&format=geojson,,,,,reviewed,0,259,us,p000hp7w,",usp000hp7w,",",us,",",impact-text,origin,phase-data,",13,,,123.2,ml,earthquake,"M 4.1 - 27 km E of Pulumer, Turkey",5,Point,"[40.212, 39.499, 5]",5
0,5.3,"26 km N of Eceabat, Turkey",1288752687000,1658186637707,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hnya,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000hnya&format=geojson,62,4.2,,,reviewed,0,458,us,p000hnya,",usp000hnya,usb00009tg,gcmtc201011030251a,gcmt20101103025127,iscgem15793542,",",us,us,gcmt,gcmt,iscgem,",",associate,dyfi,focal-mechanism,impact-text,moment-tensor,origin,phase-data,",241,,,25.9,mwc,earthquake,"M 5.3 - 26 km N of Eceabat, Turkey",6,Point,"[26.333, 40.423, 15.3]",6
0,4,"31 km SW of Karakeçili, Turkey",1287498733000,1415324563842,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hn9p,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000hn9p&format=geojson,,,,,reviewed,0,246,us,p000hn9p,",usp000hn9p,",",us,",",impact-text,origin,phase-data,",21,,,73.1,ml,earthquake,"M 4.0 - 31 km SW of Karakeçili, Turkey",7,Point,"[33.14, 39.383, 5]",7
0,4.4,"18 km SE of Marmara Ere?lisi, Turkey",1286128142960,1415324558493,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hmjk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000hmjk&format=geojson,,,,,reviewed,0,298,us,p000hmjk,",usp000hmjk,",",us,",",impact-text,origin,phase-data,",35,,,48.5,mb,earthquake,"M 4.4 - 18 km SE of Marmara Ere?lisi, Turkey",8,Point,"[28.11, 40.847, 11.2]",8
0,4.1,"27 km WNW of Yedisu, Turkey",1283827734000,1415324544674,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000hkc9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000hkc9&format=geojson,,,,,reviewed,0,259,us,p000hkc9,",usp000hkc9,",",us,",",impact-text,origin,phase-data,",27,,,134.7,mb,earthquake,"M 4.1 - 27 km WNW of Yedisu, Turkey",9,Point,"[40.229, 39.491, 5]",9
