,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,3.2,"12 km SSW of Adalan, Turkey",904598138800,1415322355538,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008u6c,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0008u6c&format=geojson,,,,,reviewed,0,158,us,p0008u6c,",usp0008u6c,",",us,",",origin,phase-data,",,,,,md,earthquake,"M 3.2 - 12 km SSW of Adalan, Turkey",0,Point,"[29.049, 40.77, 5]",0
0,2.7,"0 km NE of Tav?anl?, Turkey",904559673700,1415322355454,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008u5n,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0008u5n&format=geojson,,,,,reviewed,0,112,us,p0008u5n,",usp0008u5n,",",us,",",origin,phase-data,",,,,,md,earthquake,"M 2.7 - 0 km NE of Tav?anl?, Turkey",1,Point,"[29.518, 40.825, 10]",1
0,3.8,"19 km W of Erzincan, Turkey",904363173200,1415322354315,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008u18,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0008u18&format=geojson,,,,,reviewed,0,222,us,p0008u18,",usp0008u18,",",us,",",origin,phase-data,",,,,,md,earthquake,"M 3.8 - 19 km W of Erzincan, Turkey",2,Point,"[39.261, 39.715, 10]",2
0,2.7,"12 km E of Yenice, Turkey",904265704300,1415322353817,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008tz8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0008tz8&format=geojson,,,,,reviewed,0,112,us,p0008tz8,",usp0008tz8,",",us,",",origin,phase-data,",,,,,md,earthquake,"M 2.7 - 12 km E of Yenice, Turkey",3,Point,"[29.056, 39.764, 10]",3
0,2.6,"6 km NE of Gemlik, Turkey",904228267700,1415322353774,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008tyu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0008tyu&format=geojson,,,,,reviewed,0,104,us,p0008tyu,",usp0008tyu,",",us,",",origin,phase-data,",,,,,md,earthquake,"M 2.6 - 6 km NE of Gemlik, Turkey",4,Point,"[29.215, 40.47, 10]",4
0,2.7,"5 km SW of Kocadere, Turkey",903998673100,1415322353031,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008ttv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0008ttv&format=geojson,,,,,reviewed,0,112,us,p0008ttv,",usp0008ttv,",",us,",",origin,phase-data,",,,,,md,earthquake,"M 2.7 - 5 km SW of Kocadere, Turkey",5,Point,"[28.978, 40.603, 12]",5
0,2.6,"15 km S of Mudanya, Turkey",903452596800,1415322350379,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008tff,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0008tff&format=geojson,,,,,reviewed,0,104,us,p0008tff,",usp0008tff,",",us,",",origin,phase-data,",,,,,md,earthquake,"M 2.6 - 15 km S of Mudanya, Turkey",6,Point,"[28.856, 40.236, 6]",6
0,2.8,"5 km W of Band?rma, Turkey",903254444800,1415322349330,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008tbs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0008tbs&format=geojson,,,,,reviewed,0,121,us,p0008tbs,",usp0008tbs,",",us,",",origin,phase-data,",,,,,md,earthquake,"M 2.8 - 5 km W of Band?rma, Turkey",7,Point,"[27.913, 40.358, 10]",7
0,3.6,"32 km SSE of Enez, Turkey",903146716130,1415322348998,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008t9c,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0008t9c&format=geojson,,,,,reviewed,0,199,us,p0008t9c,",usp0008t9c,",",us,",",origin,phase-data,",,,0.93,,md,earthquake,"M 3.6 - 32 km SSE of Enez, Turkey",8,Point,"[26.168, 40.439, 10]",8
0,3.2,"6 km WSW of Kocadere, Turkey",903099223100,1415322348922,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0008t8f,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0008t8f&format=geojson,,,,,reviewed,0,158,us,p0008t8f,",usp0008t8f,",",us,",",origin,phase-data,",,,,,md,earthquake,"M 3.2 - 6 km WSW of Kocadere, Turkey",9,Point,"[28.962, 40.597, 9]",9
