,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,3.5,"30 km S of Elaiochóri, Greece",296912048800,1415316121732,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0001107,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0001107&format=geojson,,,,,reviewed,0,188,us,p0001107,",usp0001107,",",us,",",origin,",,,,,ml,earthquake,"M 3.5 - 30 km S of Elaiochóri, Greece",0,Point,"[24.231, 40.545, 10]",0
0,4.1,"7 km WNW of Ilgaz, Turkey",296835788200,1415316121681,,https://earthquake.usgs.gov/earthquakes/eventpage/usp00010zg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00010zg&format=geojson,,,,,reviewed,0,259,us,p00010zg,",usp00010zg,",",us,",",origin,",,,,,mb,earthquake,"M 4.1 - 7 km WNW of Ilgaz, Turkey",1,Point,"[33.549, 40.959, 10]",1
0,3.9,"50 km WNW of Eresós, Greece",296482424700,1415316121506,,https://earthquake.usgs.gov/earthquakes/eventpage/usp00010vu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00010vu&format=geojson,,,,,reviewed,0,234,us,p00010vu,",usp00010vu,",",us,",",origin,",,,,,ml,earthquake,"M 3.9 - 50 km WNW of Eresós, Greece",2,Point,"[25.38, 39.311, 10]",2
0,3.2,"51 km WNW of Eresós, Greece",296482030600,1415316121506,,https://earthquake.usgs.gov/earthquakes/eventpage/usp00010vt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00010vt&format=geojson,,,,,reviewed,0,158,us,p00010vt,",usp00010vt,",",us,",",origin,",,,,,ml,earthquake,"M 3.2 - 51 km WNW of Eresós, Greece",3,Point,"[25.371, 39.316, 10]",3
0,4.2,"32 km NNW of Skýros, Greece",295491202700,1415316121176,,https://earthquake.usgs.gov/earthquakes/eventpage/usp00010mr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00010mr&format=geojson,,,,,reviewed,0,271,us,p00010mr,",usp00010mr,",",us,",",origin,",,,,,ml,earthquake,"M 4.2 - 32 km NNW of Skýros, Greece",4,Point,"[24.386, 39.163, 10]",4
0,3,"25 km W of Emet, Turkey",295364490100,1415316121129,,https://earthquake.usgs.gov/earthquakes/eventpage/usp00010kk,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00010kk&format=geojson,,,,,reviewed,0,138,us,p00010kk,",usp00010kk,",",us,",",origin,",,,,,ml,earthquake,"M 3.0 - 25 km W of Emet, Turkey",5,Point,"[28.964, 39.352, 10]",5
0,2.7,"24 km ESE of Kumba?, Turkey",294129198200,1415316120541,,https://earthquake.usgs.gov/earthquakes/eventpage/usp00010b2,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp00010b2&format=geojson,,,,,reviewed,0,112,us,p00010b2,",usp00010b2,",",us,",",origin,",,,,,ml,earthquake,"M 2.7 - 24 km ESE of Kumba?, Turkey",6,Point,"[27.729, 40.809, 10]",6
0,4.3,"35 km NW of Skýros, Greece",292806553700,1415316119935,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000zyz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000zyz&format=geojson,,,,,reviewed,0,284,us,p0000zyz,",usp0000zyz,",",us,",",origin,",,,,,mb,earthquake,"M 4.3 - 35 km NW of Skýros, Greece",7,Point,"[24.311, 39.161, 33]",7
0,3.9,"0 km S of Eresós, Greece",292726941400,1415316119890,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000zye,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000zye&format=geojson,,,,,reviewed,0,234,us,p0000zye,",usp0000zye,",",us,",",origin,",,,,,mb,earthquake,"M 3.9 - 0 km S of Eresós, Greece",8,Point,"[25.933, 39.162, 10]",8
0,4.3,"8 km E of Varto, Turkey",292718064800,1415316119887,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000zyb,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000zyb&format=geojson,,,,,reviewed,0,284,us,p0000zyb,",usp0000zyb,",",us,",",origin,",,,,,mb,earthquake,"M 4.3 - 8 km E of Varto, Turkey",9,Point,"[41.551, 39.182, 66]",9
0,3.7,"14 km WNW of Düzce, Turkey",291248592900,1415316119108,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000zp1,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000zp1&format=geojson,,,,,reviewed,0,211,us,p0000zp1,",usp0000zp1,",",us,",",origin,",,,,,ml,earthquake,"M 3.7 - 14 km WNW of Düzce, Turkey",10,Point,"[31.016, 40.905, 10]",10
0,3.2,Western Turkey,291085635400,1415316119064,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000zmu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000zmu&format=geojson,,,,,reviewed,0,158,us,p0000zmu,",usp0000zmu,",",us,",",origin,",,,,,ml,earthquake,M 3.2 - Western Turkey,11,Point,"[29.012, 39.318, 10]",11
0,3.6,"21 km NW of Tav?anl?, Turkey",290235270300,1415316118337,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0000zbp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0000zbp&format=geojson,,,,,reviewed,0,199,us,p0000zbp,",usp0000zbp,",",us,",",origin,",,,,,ml,earthquake,"M 3.6 - 21 km NW of Tav?anl?, Turkey",12,Point,"[29.321, 39.674, 10]",12
