,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,5.65,"8 km N of Akyaz?, Turkey",-76544936990,1651013478775,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem833888,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem833888&format=geojson,,,6.783,,reviewed,0,491,iscgem,833888,",iscgem833888,atlas19670730013101,",",iscgem,atlas,",",origin,shakemap,trump-shakemap,",,,,,mw,earthquake,"M 5.7 - 8 km N of Akyaz?, Turkey",0,Point,"[30.609, 40.764, 15]",0
0,6.2,"16 km NNW of Yedisu, Turkey",-76828017390,1651013463817,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem833748,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem833748&format=geojson,,,6.666,,reviewed,0,591,iscgem,833748,",iscgem833748,atlas19670726185259,",",iscgem,atlas,",",origin,shakemap,trump-shakemap,",,,,,mw,earthquake,"M 6.2 - 16 km NNW of Yedisu, Turkey",1,Point,"[40.445, 39.568, 20]",1
0,5.11,"5 km S of Karapürçek, Turkey",-77156280790,1651013451687,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem833598,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem833598&format=geojson,,,,,reviewed,0,402,iscgem,833598,",iscgem833598,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.1 - 5 km S of Karapürçek, Turkey",2,Point,"[30.535, 40.594, 15]",2
0,5.31,"12 km E of Adapazar?, Turkey",-77176205620,1651013450206,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem833584,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem833584&format=geojson,,,,,reviewed,0,434,iscgem,833584,",iscgem833584,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.3 - 12 km E of Adapazar?, Turkey",3,Point,"[30.548, 40.796, 15]",3
0,5.22,Western Turkey,-77177513630,1651013444306,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem833578,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem833578&format=geojson,,,,,reviewed,0,419,iscgem,833578,",iscgem833578,",",iscgem,",",origin,",,,,,mw,earthquake,M 5.2 - Western Turkey,4,Point,"[30.625, 40.67, 15]",4
0,7.29,"6 km SE of Hendek, Turkey",-77180579300,1651013438364,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem833573,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem833573&format=geojson,,,8.607,,reviewed,0,818,iscgem,833573,",atlas19670722165655,iscgem833573,",",atlas,iscgem,",",origin,shakemap,trump-shakemap,",,,,,mw,earthquake,"M 7.3 - 6 km SE of Hendek, Turkey",5,Point,"[30.8, 40.751, 30]",5
0,5.18,"8 km SSE of Ilgaz, Turkey",-79710784200,1651013595634,,https://earthquake.usgs.gov/earthquakes/eventpage/iscgem834816,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=iscgem834816&format=geojson,,,,,reviewed,0,413,iscgem,834816,",iscgem834816,",",iscgem,",",origin,",,,,,mw,earthquake,"M 5.2 - 8 km SSE of Ilgaz, Turkey",6,Point,"[33.665, 40.85, 15]",6
